INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1998-067A,25544,PAYLOAD,ISS (ZARYA),ISS,1998-11-20,TTMTR,,92.94,51.64,420,416,,,0,LARGE,7346,1998,67,A,Y,ISS (ZARYA),1998-067A,25544
1967-068B,2883,ROCKET BODY,ATLAS CENTAUR R/B,US,1967-07-14,AFETR,,113.38,64.66,2499,265,,5,0,,1,1967,68,B,Y,ATLAS CENTAUR R/B,1967-068B,2883
1975-122A,8510,PAYLOAD,PROGNOZ 4,CIS,1975-12-22,TTMTR,,91.50,65.04,465,232,,3,0,,5799,1975,122,A,Y,PROGNOZ 4,1975-122A,8510
2004-030A,28391,PAYLOAD,MESSENGER,US,2004-08-03,AFETR,,0.00,0.00,0,0,,5,0,,5799,2004,30,A,Y,MESSENGER,2004-030A,28391
2016-025F,41461,PAYLOAD,ASAP-S,FR,2016-04-25,FRGUI,,95.66,98.13,669,432,,,0,LARGE,7345,2016,25,F,Y,ASAP-S,2016-025F,41461
1990-081CE,20972,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.57,98.46,801,770,,,0,SMALL,7338,1990,81,CE,Y,CZ-4 DEB,1990-081CE,20972
2015-030C,43422,DEBRIS,GAOFEN 8 DEB,PRC,2015-06-26,TSC,,93.63,97.52,455,449,,,0,SMALL,7340,2015,30,C,Y,GAOFEN 8 DEB,2015-030C,43422
2016-025A,41456,PAYLOAD,SENTINEL 1B,ESA,2016-04-25,FRGUI,,98.68,98.18,697,695,,,0,LARGE,7345,2016,25,A,Y,SENTINEL 1B,2016-025A,41456
2015-020J,41721,DEBRIS,BREEZE-KM DEB,CIS,2015-03-31,PKMTR,,112.98,82.49,1554,1172,,,0,SMALL,7342,2015,20,J,Y,BREEZE-KM DEB,2015-020J,41721
2016-012N,41444,DEBRIS,ASTRO H DEB,JPN,2016-02-17,TNSTA,,95.10,31.00,529,517,,,0,SMALL,7345,2016,12,N,Y,ASTRO H DEB,2016-012N,41444
1992-093BS,22377,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,102.34,71.10,909,829,,,0,SMALL,7344,1992,93,BS,Y,SL-16 DEB,1992-093BS,22377
1992-021C,21941,ROCKET BODY,ARIANE 44L+ R/B,FR,1992-04-15,FRGUI,,104.76,3.97,1797,170,,,0,LARGE,7346,1992,21,C,Y,ARIANE 44L+ R/B,1992-021C,21941
2020-032C,45613,DEBRIS,CZ-11 DEB,PRC,2020-05-29,XSC,,94.13,35.03,485,468,,,0,MEDIUM,7337,2020,32,C,Y,CZ-11 DEB,2020-032C,45613
2000-055LB,41422,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.00,98.84,865,843,,,0,SMALL,7345,2000,55,LB,Y,NOAA 16 DEB,2000-055LB,41422
1992-093BH,22368,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,99.49,71.25,820,649,,,0,MEDIUM,7344,1992,93,BH,Y,SL-16 DEB,1992-093BH,22368
1992-093AL,22347,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,103.32,70.84,1045,786,,,0,SMALL,7344,1992,93,AL,Y,SL-16 DEB,1992-093AL,22347
1990-081BT,20907,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,98.82,98.21,711,693,,,0,SMALL,7338,1990,81,BT,Y,CZ-4 DEB,1990-081BT,20907
1990-081BQ,20904,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.20,98.36,783,753,,,0,SMALL,7338,1990,81,BQ,Y,CZ-4 DEB,1990-081BQ,20904
1990-081BP,20903,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.94,98.56,845,761,,,0,SMALL,7338,1990,81,BP,Y,CZ-4 DEB,1990-081BP,20903
1992-093P,22326,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,103.38,70.66,1026,811,,,0,SMALL,7344,1992,93,P,Y,SL-16 DEB,1992-093P,22326
1990-081AX,20887,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.22,98.41,784,753,,,0,SMALL,7338,1990,81,AX,Y,CZ-4 DEB,1990-081AX,20887
